"state","county","malelifeexpect","femalelifeexpect","maleobesity","femaleobesity","malephysical","femalephysical","lifeexpectall","obesityall","physicalactivityall"
"Alabama","Autauga",73.3,78.8,37.1,38.8,52.9,47.5,76.05,37.95,50.2
"Alabama","Baldwin",75,80.3,33.5,33.9,54.1,49.6,77.65,33.7,51.85
"Alabama","Barbour",72.2,77.2,41.5,51.6,44.9,35.8,74.7,46.55,40.35
"Alabama","Bibb",71.5,76.8,40.7,45.2,42.7,37.4,74.15,42.95,40.05
"Alabama","Blount",73.1,78.6,38.4,41.6,43.1,37.6,75.85,40,40.35
"Alabama","Bullock",67.2,76.4,41.9,56,43,34.5,71.8,48.95,38.75
"Alabama","Butler",69.4,78.1,39.8,50.3,48,37.4,73.75,45.05,42.7
"Alabama","Calhoun",70.8,75.8,38,41.4,48.7,40.7,73.3,39.7,44.7
"Alabama","Chambers",70.1,76.4,40.7,47.7,46.9,34.7,73.25,44.2,40.8
"Alabama","Cherokee",72.2,77.1,39.5,41.7,44.8,40.8,74.65,40.6,42.8
"Alabama","Chilton",70.8,76.9,41.8,44.3,43.9,38.2,73.85,43.05,41.05
"Alabama","Choctaw",71.5,78.6,41.2,49.9,43.6,33.6,75.05,45.55,38.6
"Alabama","Clarke",72.3,77.4,41.8,46.6,48.5,37.4,74.85,44.2,42.95
"Alabama","Clay",71.7,76.6,39.2,45.4,44.1,39,74.15,42.3,41.55
"Alabama","Cleburne",71.7,76.6,37.4,41.3,46.4,41.7,74.15,39.35,44.05
"Alabama","Coffee",74.1,78.4,39.1,39.7,47.8,46.7,76.25,39.4,47.25
"Alabama","Colbert",70.4,77.8,40.2,41.6,51.2,42.1,74.1,40.9,46.65
"Alabama","Conecuh",69.4,78.1,40.6,49.5,44.5,33.5,73.75,45.05,39
"Alabama","Coosa",70.8,76.9,41.6,48.4,45.6,38.4,73.85,45,42
"Alabama","Covington",72.2,77.5,40.9,40.3,46,40.3,74.85,40.6,43.15
"Alabama","Crenshaw",70.2,76.4,40.6,44.8,47.7,43.8,73.3,42.7,45.75
"Alabama","Cullman",72.3,77.7,37.4,40.5,44.7,41.8,75,38.95,43.25
"Alabama","Dale",73.4,78,39.1,44.1,55,44.2,75.7,41.6,49.6
"Alabama","Dallas",68.6,75.4,40,56.2,44.2,35.5,72,48.1,39.85
"Alabama","DeKalb",72.1,77.3,38.9,40.9,41.9,40.6,74.7,39.9,41.25
"Alabama","Elmore",72.9,78.4,36.9,39.3,54.9,44.6,75.65,38.1,49.75
"Alabama","Escambia",71,77.7,41.6,44.1,47.9,37.6,74.35,42.85,42.75
