Date,INJCJC4
1/5/1990,362.25
1/12/1990,365.75
1/19/1990,364.25
1/26/1990,361
2/2/1990,364.25
2/9/1990,363.75
2/16/1990,357
2/23/1990,358.25
3/2/1990,354
3/9/1990,349.5
3/16/1990,349.75
3/23/1990,345
3/30/1990,343.75
4/6/1990,348.25
4/13/1990,350.25
4/20/1990,357.5
4/27/1990,361.75
5/4/1990,358.5
5/11/1990,358
5/18/1990,356.25
5/25/1990,355.25
6/1/1990,358.75
6/8/1990,359.75
6/15/1990,361.25
6/22/1990,362
6/29/1990,361
7/6/1990,361.75
7/13/1990,363.75
7/20/1990,365.75
7/27/1990,367
8/3/1990,368.75
8/10/1990,372.25
8/17/1990,378
8/24/1990,384.25
8/31/1990,390
9/7/1990,392.25
9/14/1990,392.75
9/21/1990,391.5
9/28/1990,394.5
10/5/1990,398
10/12/1990,404.75
10/19/1990,416.25
10/26/1990,425.25
11/2/1990,431.75
11/9/1990,438.25
11/16/1990,441.25
11/23/1990,446.75
11/30/1990,452
12/7/1990,452.25
12/14/1990,452.25
12/21/1990,455.25
12/28/1990,456
1/4/1991,447.5
1/11/1991,445
1/18/1991,437.75
1/25/1991,439.75
2/1/1991,456.75
2/8/1991,467.5
2/15/1991,474.75
2/22/1991,484
3/1/1991,485.25
3/8/1991,490
3/15/1991,496
3/22/1991,498.5
3/29/1991,501.25
4/5/1991,489.5
4/12/1991,484.25
4/19/1991,476.5
4/26/1991,467.25
5/3/1991,467
5/10/1991,459.25
5/17/1991,451.75
5/24/1991,447
5/31/1991,442.25
6/7/1991,441
6/14/1991,436.25
6/21/1991,431.25
6/28/1991,427.75
7/5/1991,423
7/12/1991,420.75
7/19/1991,417
7/26/1991,418.25
8/2/1991,422.25
8/9/1991,426.5
8/16/1991,432.75
8/23/1991,433.25
8/30/1991,430
9/6/1991,426.75
9/13/1991,423
9/20/1991,421.5
9/27/1991,424.5
10/4/1991,424.5
10/11/1991,426.25
10/18/1991,426.25
10/25/1991,422.75
11/1/1991,428.5
11/8/1991,435.5
11/15/1991,440.5
11/22/1991,445.75
11/29/1991,445
12/6/1991,450.5
12/13/1991,459.5
12/20/1991,457.5
12/27/1991,456.75
1/3/1992,446
1/10/1992,437.25
1/17/1992,439
1/24/1992,439
1/31/1992,441
2/7/1992,442.25
2/14/1992,443
2/21/1992,441.75
2/28/1992,442.75
3/6/1992,436.75
3/13/1992,434.5
3/20/1992,435.5
3/27/1992,429.5
4/3/1992,427.25
4/10/1992,421.25
4/17/1992,417.25
4/24/1992,418.25
5/1/1992,423
5/8/1992,424
5/15/1992,421.5
5/22/1992,419
5/29/1992,414
6/5/1992,413.75
6/12/1992,415.25
6/19/1992,416.5
6/26/1992,418.75
7/3/1992,416.5
7/10/1992,413.5
7/17/1992,406.75
7/24/1992,442.75
7/31/1992,446.75
8/7/1992,446.25
8/14/1992,448.5
8/21/1992,407
8/28/1992,403.25
9/4/1992,405.75
9/11/1992,409.5
9/18/1992,416.75
9/25/1992,417
10/2/1992,412.5
10/9/1992,402
10/16/1992,391.5
10/23/1992,381
10/30/1992,372.75
11/6/1992,372.75
11/13/1992,370.75
11/20/1992,368.25
11/27/1992,362.25
12/4/1992,356.25
12/11/1992,351.75
12/18/1992,346
12/25/1992,339
1/1/1993,336.75
1/8/1993,335.5
1/15/1993,340
1/22/1993,347
1/29/1993,346.75
2/5/1993,338
2/12/1993,330.25
2/19/1993,332.75
2/26/1993,338.25
3/5/1993,347
3/12/1993,353.25
3/19/1993,350
3/26/1993,351
4/2/1993,353.75
4/9/1993,355.5
4/16/1993,358.75
4/23/1993,354.75
4/30/1993,349.25
5/7/1993,345.75
5/14/1993,344.25
5/21/1993,342.25
5/28/1993,343.75
6/4/1993,344.75
6/11/1993,344.25
6/18/1993,345
6/25/1993,342.75
7/2/1993,340.5
7/9/1993,333.25
7/16/1993,330.75
7/23/1993,349.5
7/30/1993,355
8/6/1993,363
8/13/1993,364
8/20/1993,345.75
8/27/1993,341
9/3/1993,338
9/10/1993,336.5
9/17/1993,337.5
9/24/1993,339
10/1/1993,338.75
10/8/1993,344.25
10/15/1993,347.5
10/22/1993,350.25
10/29/1993,354
11/5/1993,352.75
11/12/1993,348.25
11/19/1993,343.75
11/26/1993,341
12/3/1993,337.75
12/10/1993,336
12/17/1993,334.75
12/24/1993,323
12/31/1993,324
1/7/1994,326.25
1/14/1994,332.25
1/21/1994,347.5
1/28/1994,363.75
2/4/1994,368.25
2/11/1994,368
2/18/1994,368.25
2/25/1994,348.5
3/4/1994,345.25
3/11/1994,342
3/18/1994,337
3/25/1994,335.75
4/1/1994,334.25
4/8/1994,336.25
4/15/1994,341.75
4/22/1994,344
4/29/1994,344.5
5/6/1994,350
5/13/1994,351.5
5/20/1994,358
5/27/1994,359
6/3/1994,352.5
6/10/1994,347
6/17/1994,341.75
6/24/1994,340
7/1/1994,337.25
7/8/1994,338
7/15/1994,343.75
7/22/1994,344.75
7/29/1994,344.25
8/5/1994,343.5
8/12/1994,337.5
8/19/1994,334
8/26/1994,336.25
9/2/1994,336.5
9/9/1994,335.5
9/16/1994,334.25
9/23/1994,330.25
9/30/1994,328
10/7/1994,330.5
10/14/1994,332.75
10/21/1994,334
10/28/1994,334.25
11/4/1994,331
11/11/1994,329.5
11/18/1994,328.5
11/25/1994,328
12/2/1994,327
12/9/1994,327
12/16/1994,328
12/23/1994,324.25
12/30/1994,323
1/6/1995,325.25
1/13/1995,329.5
1/20/1995,332.25
1/27/1995,333.5
2/3/1995,330
2/10/1995,330.25
2/17/1995,334.75
2/24/1995,337.75
3/3/1995,341.5
3/10/1995,341.25
3/17/1995,341.25
3/24/1995,340.25
3/31/1995,339.25
4/7/1995,339.25
4/14/1995,342.25
4/21/1995,346.5
4/28/1995,354
5/5/1995,358.25
5/12/1995,361
5/19/1995,368
5/26/1995,370.25
6/2/1995,369.75
6/9/1995,370
6/16/1995,370.25
6/23/1995,366.25
6/30/1995,364.5
7/7/1995,365.75
