DATE,DEXUSEU
2011-11-04,1.3786
2011-11-11,1.3681
2011-11-18,1.3539
2011-11-25,1.3404
2011-12-02,1.3401
2011-12-09,1.3388
2011-12-16,1.3058
2011-12-23,1.3044
2011-12-30,1.2981
2012-01-06,1.2874
2012-01-13,1.2743
2012-01-20,1.2863
2012-01-27,1.3072
2012-02-03,1.3126
2012-02-10,1.3222
2012-02-17,1.3141
2012-02-24,1.3319
2012-03-02,1.3349
2012-03-09,1.3171
2012-03-16,1.3103
2012-03-23,1.3222
2012-03-30,1.3313
2012-04-06,1.3188
2012-04-13,1.3102
2012-04-20,1.3131
2012-04-27,1.3205
2012-05-04,1.3169
2012-05-11,1.2983
2012-05-18,1.2755
2012-05-25,1.2635
2012-06-01,1.2419
2012-06-08,1.2503
2012-06-15,1.2564
2012-06-22,1.2621
2012-06-29,1.2502
2012-07-06,1.2468
2012-07-13,1.2246
2012-07-20,1.2239
2012-07-27,1.2194
2012-08-03,1.2281
2012-08-10,1.2357
2012-08-17,1.2325
2012-08-24,1.2481
2012-08-31,1.2538
2012-09-07,1.2648
2012-09-14,1.2920
2012-09-21,1.3036
2012-09-28,1.2887
2012-10-05,1.2964
2012-10-12,1.2910
2012-10-19,1.3049
2012-10-26,1.2975
2012-11-02,1.2926
2012-11-09,1.2764
2012-11-16,1.2739
2012-11-23,1.2849
2012-11-30,1.2958
2012-12-07,1.3027
2012-12-14,1.3034
2012-12-21,1.3209
2012-12-28,1.3214
2013-01-04,1.3135
2013-01-11,1.3164
2013-01-18,1.3335
2013-01-25,1.3362
2013-02-01,1.3557
2013-02-08,1.3474
2013-02-15,1.3402
2013-02-22,1.3277
2013-03-01,1.3079
2013-03-08,1.3019
2013-03-15,1.3007
2013-03-22,1.2944
2013-03-29,1.2836
2013-04-05,1.2884
2013-04-12,1.3076
2013-04-19,1.3082
2013-04-26,1.3017
2013-05-03,1.3126
2013-05-10,1.3078
2013-05-17,1.2905
2013-05-24,1.2901
2013-05-31,1.2961
2013-06-07,1.3150
2013-06-14,1.3302
2013-06-21,1.3296
2013-06-28,1.3041
2013-07-05,1.2978
2013-07-12,1.2915
2013-07-19,1.3099
2013-07-26,1.3227
2013-08-02,1.3259
2013-08-09,1.3322
2013-08-16,1.3280
2013-08-23,1.3379
2013-08-30,1.3301
2013-09-06,1.3166
2013-09-13,1.3282
2013-09-20,1.3421
2013-09-27,1.3513
2013-10-04,1.3577
2013-10-11,1.3552
2013-10-18,1.3585
2013-10-25,1.3768
2013-11-01,1.3682
2013-11-08,1.3453
2013-11-15,1.3458
2013-11-22,1.3503
2013-11-29,1.3557
2013-12-06,1.3613
2013-12-13,1.3753
2013-12-20,1.3722
2013-12-27,1.3708
2014-01-03,1.3718
2014-01-10,1.3619
2014-01-17,1.3617
2014-01-24,1.3617
2014-01-31,1.3611
2014-02-07,1.3553
2014-02-14,1.3650
2014-02-21,1.3733
2014-02-28,1.3738
2014-03-07,1.3789
2014-03-14,1.3900
2014-03-21,1.3863
2014-03-28,1.3770
2014-04-04,1.3751
2014-04-11,1.3831
2014-04-18,1.3820
2014-04-25,1.3815
2014-05-02,1.3851
2014-05-09,1.3870
2014-05-16,1.3722
