"fthrc","ftsanders","ideo5","pid3","race_white","gender","birthyr"
76,84,6,1,1,1,1960
52,13,2,3,1,2,1957
1,2,4,2,1,1,1963
69,71,2,1,1,1,1980
1,13,4,4,1,1,1974
1,11,4,3,1,1,1958
60,100,1,1,1,1,1978
0,40,5,2,1,1,1951
3,31,4,3,1,1,1973
87,97,2,1,1,1,1936
6,51,4,2,1,1,1978
10,10,4,3,1,2,1943
49,90,3,1,1,1,1936
3,41,5,2,1,2,1938
1,1,4,2,1,2,1956
0,10,3,3,0,1,1984
79,77,3,1,1,1,1981
79,100,3,1,1,2,1945
0,0,5,3,1,1,1961
87,81,2,1,1,2,1958
94,61,2,1,1,2,1950
2,90,5,2,1,1,1955
65,85,1,3,1,1,1954
68,89,2,1,1,2,1945
53,69,1,1,1,1,1978
50,38,3,3,1,1,1981
0,0,4,2,1,2,1949
41,100,2,1,1,2,1944
70,99,2,1,1,2,1955
85,83,2,1,1,2,1951
92,89,5,2,1,2,1994
21,98,1,1,1,1,1950
1,1,5,3,1,1,1953
0,4,5,2,1,2,1971
77,62,3,1,1,1,1967
93,96,1,1,1,1,1945
100,1,1,1,1,2,1948
52,71,3,3,1,1,1976
7,20,3,3,1,1,1955
9,6,3,2,1,2,1957
94,56,4,1,1,1,1953
94,84,1,1,1,2,1973
10,10,4,3,1,1,1944
99,90,3,1,1,1,1956
100,100,2,1,1,1,1949
0,1,3,3,1,1,1962
98,50,4,1,1,2,1952
3,47,3,1,0,1,1972
83,100,2,1,1,2,1960
1,10,5,3,1,1,1978
98,16,1,1,1,2,1976
75,95,3,1,1,1,1977
10,21,4,2,1,1,1940
99,64,1,1,0,2,1983
3,42,4,2,1,2,1978
31,86,6,4,0,1,1978
1,4,5,4,1,1,1974
99,91,3,3,1,2,1973
2,28,3,3,1,1,1970
1,54,3,2,1,1,1977
0,0,5,2,1,1,1962
16,50,4,2,1,2,1989
78,100,2,1,1,2,1960
10,20,4,3,1,1,1968
100,100,1,1,0,1,1969
61,70,3,3,1,1,1984
54,81,2,1,0,1,1958
95,100,1,1,1,1,1936
1,3,4,3,1,1,1967
0,0,4,4,1,1,1974
2,41,4,3,1,2,1964
93,97,1,3,1,1,1959
78,100,1,1,1,1,1956
4,28,3,3,1,1,1942
61,57,3,3,1,2,1938
1,0,4,3,1,1,1953
95,86,2,1,1,2,1936
0,10,5,3,1,1,1961
0,0,5,2,1,1,1953
7,51,3,3,1,1,1961
1,30,3,4,1,2,1947
56,49,1,3,0,2,1973
100,100,3,1,0,2,1952
47,50,2,1,0,2,1964
59,92,3,2,1,1,1954
2,29,5,2,1,2,1967
12,100,2,1,1,1,1963
50,50,3,3,0,2,1986
0,62,4,3,1,2,1946
0,1,3,3,1,1,1969
60,90,2,1,1,2,1986
90,90,2,1,1,1,1956
0,10,4,3,1,2,1953
75,95,3,1,1,2,1940
60,96,2,1,1,1,1951
77,91,3,3,1,2,1973
5,4,5,2,1,2,1933
5,41,4,3,1,1,1960
100,98,1,3,1,2,1968
0,10,4,3,1,1,1943
87,99,1,3,1,1,1937
0,0,4,2,1,1,1962
100,100,2,1,1,1,1962
100,0,1,1,0,2,1944
20,42,6,3,1,1,1977
76,100,6,4,0,2,1991
10,3,5,4,1,1,1965
100,80,3,1,1,2,1943
100,70,2,1,1,1,1955
3,31,4,2,1,2,1954
3,16,4,2,1,1,1931
95,71,3,1,1,1,1953
1,3,4,3,1,1,1949
4,5,4,2,1,2,1932
71,71,2,1,1,2,1973
51,50,6,3,1,2,1973
50,55,3,3,1,1,1972
0,90,5,1,1,1,1961
55,63,4,3,1,1,1964
61,90,3,1,1,1,1952
4,21,3,4,1,2,1972
3,52,6,3,1,2,1947
3,3,3,1,0,1,1945
35,35,5,2,1,2,1963
29,61,6,3,1,1,1952
80,99,2,1,1,2,1961
100,79,3,1,1,2,1939
0,91,5,4,1,1,1937
59,74,4,2,1,1,1954
84,45,1,1,1,2,1966
46,100,1,1,0,2,1975
70,31,3,2,1,1,1957
0,59,6,3,1,1,1958
31,53,4,2,1,2,1959
91,71,2,1,0,1,1962
60,60,3,1,1,2,1941
10,10,3,2,1,2,1941
4,49,6,2,1,2,1950
1,67,4,1,0,1,1938
3,11,4,1,1,1,1960
4,41,3,1,0,1,1978
59,64,3,3,1,2,1948
100,70,1,1,1,1,1959
97,75,1,1,0,1,1961
86,67,3,3,1,2,1956
4,17,4,2,1,1,1977
71,66,3,1,0,1,1959
6,51,3,2,1,2,1955
0,2,4,2,1,1,1982
65,100,2,1,1,1,1965
4,70,4,3,1,2,1975
40,71,3,2,1,2,1964
1,0,5,2,1,1,1953
12,29,4,2,1,2,1950
0,30,4,2,1,2,1955
70,51,4,4,1,1,1972
100,95,3,1,0,1,1955
0,50,5,2,1,1,1964
0,1,4,3,1,1,1958
66,100,1,1,1,1,1953
1,1,5,2,1,2,1942
0,31,3,3,1,2,1950
100,90,1,1,0,2,1964
85,67,3,1,1,1,1946
33,50,3,1,0,2,1972
1,41,4,2,1,1,1938
0,1,4,2,1,1,1954
24,27,3,3,1,2,1954
0,55,4,3,1,1,1990
41,60,2,1,0,2,1981
0,0,4,3,1,1,1950
6,5,6,3,1,2,1980
75,86,2,1,1,2,1940
0,0,5,2,1,1,1936
61,100,1,1,0,2,1961
1,9,4,2,1,2,1986
0,12,4,3,1,1,1954
1,65,4,2,1,1,1959
12,72,4,2,1,2,1959
100,95,2,1,1,2,1968
1,10,4,3,1,1,1946
13,28,4,2,1,2,1932
0,0,4,2,1,2,1957
73,86,2,1,0,2,1955
9,30,3,3,1,1,1979
75,0,2,1,1,2,1975
42,99,1,1,1,2,1956
6,31,4,2,1,1,1973
0,2,5,3,1,2,1953
0,2,5,3,1,2,1980
88,88,3,3,1,2,1952
70,90,3,1,1,1,1974
12,5,3,2,1,2,1957
24,15,3,3,1,1,1982
3,20,4,3,0,2,1961
0,0,5,2,1,1,1925
0,1,4,2,1,1,1980
1,53,3,3,1,1,1952
35,100,1,1,1,2,1984
9,2,5,2,1,2,1960
15,22,5,2,1,1,1937
97,84,3,1,1,1,1978
95,99,2,1,1,2,1961
61,65,4,1,0,1,1954
4,4,5,2,1,2,1960
8,41,6,1,1,2,1952
85,70,4,1,0,2,1941
0,2,5,3,1,1,1941
54,77,3,3,1,2,1961
4,4,4,2,1,1,1989
4,3,4,3,1,1,1967
0,41,4,2,1,2,1962
63,76,2,3,0,1,1976
65,40,3,1,1,2,1955
0,45,3,3,1,1,1959
89,90,1,3,1,2,1956
8,33,3,3,1,2,1951
16,59,3,3,1,2,1947
4,51,4,2,1,1,1947
11,1,5,2,1,2,1984
0,16,3,2,1,2,1939
50,96,2,3,1,2,1978
30,70,4,3,1,2,1932
47,16,5,1,1,2,1973
100,30,1,1,1,2,1955
1,14,4,2,1,2,1970
0,31,4,3,1,1,1942
1,47,4,2,1,2,1960
75,92,2,1,1,2,1958
1,20,4,3,1,1,1946
80,97,3,1,1,2,1972
2,24,4,3,1,1,1972
49,61,3,3,1,2,1988
0,20,4,3,1,1,1963
0,45,4,1,1,1,1965
33,86,1,1,1,1,1988
98,44,2,1,1,1,1948
0,1,4,3,1,1,1976
79,68,4,2,0,1,1977
1,60,3,2,1,2,1954
89,53,3,1,0,2,1955
0,78,5,3,1,2,1977
49,53,2,3,1,2,1963
40,41,3,2,1,1,1983
3,22,4,2,1,2,1976
96,99,1,1,1,2,1964
98,83,2,1,1,2,1959
55,50,4,4,1,1,1977
89,67,3,1,1,1,1975
80,56,3,2,1,1,1953
0,0,5,2,1,1,1966
86,31,3,1,1,2,1956
4,12,4,2,1,1,1956
0,15,4,3,1,2,1933
94,71,2,1,1,2,1954
91,75,3,1,1,2,1939
0,0,6,2,0,1,1958
2,28,3,1,1,2,1957
59,82,1,1,1,2,1988
95,41,2,3,0,1,1954
12,16,3,2,1,1,1956
98,69,2,3,0,1,1941
3,21,3,3,1,2,1938
5,17,5,2,1,1,1936
1,2,4,3,1,1,1957
73,41,3,3,1,1,1967
90,80,2,1,0,1,1956
62,94,3,1,1,2,1933
36,91,2,3,1,1,1996
80,99,1,1,1,1,1955
67,99,2,3,1,2,1952
5,28,4,2,1,2,1975
0,30,4,4,0,1,1988
1,1,5,4,1,1,1957
100,99,2,1,0,2,1947
1,2,3,2,1,1,1959
31,100,2,1,1,2,1946
71,84,2,1,1,2,1977
1,2,5,4,0,1,1958
6,6,3,3,1,1,1956
0,51,3,4,1,2,1952
51,16,3,2,1,2,1955
88,86,1,1,1,1,1949
91,74,3,1,0,1,1954
6,69,4,2,1,1,1951
18,18,3,3,1,2,1956
100,76,4,1,0,1,1961
30,74,3,1,1,2,1943
3,49,4,3,1,2,1961
41,40,3,1,1,2,1940
65,57,4,1,0,1,1986
52,36,4,2,0,1,1980
70,75,3,1,1,2,1947
69,59,4,3,1,2,1965
0,32,4,3,1,1,1954
2,20,5,3,1,2,1961
98,97,2,1,1,2,1951
0,2,4,2,1,1,1965
52,84,1,1,1,2,1950
0,1,5,3,1,2,1964
85,96,3,1,0,2,1943
52,50,3,2,0,2,1969
1,38,4,2,1,2,1943
2,4,4,2,1,2,1957
20,6,6,1,1,2,1961
97,97,1,1,1,2,1945
0,0,5,4,0,2,1955
71,94,2,3,0,2,1963
0,0,4,3,1,1,1976
11,63,3,3,0,2,1983
1,22,3,3,1,1,1954
0,1,5,2,1,2,1926
71,17,2,1,1,2,1972
64,71,4,2,1,1,1965
50,50,3,1,1,2,1955
2,1,6,3,1,2,1947
100,91,3,1,0,1,1951
1,6,4,4,1,1,1940
81,39,5,1,0,2,1984
83,51,3,1,1,2,1956
99,6,5,1,0,2,1960
1,2,3,1,1,2,1943
2,19,3,3,1,2,1972
75,7,2,1,1,2,1972
10,5,4,3,1,1,1974
60,100,3,3,1,1,1973
94,23,3,1,1,2,1946
61,59,3,2,1,1,1949
49,50,2,1,0,1,1968
93,64,2,1,1,2,1968
1,12,4,2,1,2,1960
96,88,3,3,1,2,1945
9,1,4,2,1,1,1981
65,75,2,1,0,1,1992
97,71,3,1,0,2,1950
1,0,4,3,1,1,1947
0,0,5,2,1,1,1975
1,1,5,2,1,2,1945
6,97,3,3,1,1,1942
97,72,1,1,0,2,1943
100,50,3,1,0,1,1951
100,19,4,1,1,2,1943
0,2,4,2,1,2,1956
0,1,4,3,1,2,1939
90,100,3,1,1,2,1954
60,90,3,4,1,1,1936
44,57,3,2,1,2,1963
60,100,2,3,0,1,1974
0,2,3,3,1,2,1985
1,49,4,2,1,2,1950
82,1,1,3,1,1,1954
0,0,5,2,1,2,1961
64,30,4,3,1,1,1943
74,68,4,3,0,2,1990
41,84,3,3,1,2,1966
21,1,4,3,1,1,1955
30,84,3,1,1,1,1953
0,5,3,3,0,2,1951
85,46,2,3,1,1,1951
31,38,4,2,1,2,1978
0,100,2,1,1,1,1949
20,61,3,1,1,1,1957
69,3,4,1,1,1,1981
1,2,6,3,1,1,1971
25,15,3,3,1,2,1943
0,0,4,2,1,2,1956
79,100,1,1,1,2,1960
11,40,3,2,0,2,1962
55,50,4,2,1,2,1962
100,50,3,1,0,2,1947
1,2,5,2,1,1,1958
0,10,4,3,1,1,1954
0,1,5,2,1,2,1958
58,62,2,1,1,1,1965
90,70,3,1,0,2,1955
3,3,4,2,1,2,1947
2,6,5,3,1,1,1993
0,3,5,2,1,2,1950
0,0,5,3,1,1,1967
0,0,4,3,1,1,1974
71,59,4,1,0,2,1965
99,76,1,1,0,1,1992
0,50,3,3,0,2,1982
99,88,1,1,0,2,1957
25,6,3,2,1,1,1954
65,51,3,2,1,1,1964
6,18,6,3,1,2,1988
67,80,3,3,1,1,1982
0,1,5,2,1,2,1973
91,74,3,3,0,1,1952
58,76,3,1,1,2,1957
99,2,3,1,0,1,1975
75,58,6,1,1,2,1984
1,7,5,2,1,1,1982
47,74,4,4,1,1,1952
1,50,4,3,1,1,1945
1,1,4,4,0,1,1956
51,93,2,1,1,2,1980
30,49,4,3,1,2,1973
2,34,4,3,1,1,1974
100,7,4,1,0,2,1949
11,5,4,2,1,1,1945
100,47,2,1,0,2,1957
1,0,4,3,1,2,1940
91,88,2,1,0,1,1988
100,99,2,1,0,1,1945
0,3,4,2,1,2,1954
82,96,3,1,0,2,1975
1,30,4,3,1,1,1961
1,5,4,3,1,2,1961
81,91,2,1,1,2,1960
2,2,4,3,0,1,1947
4,6,3,3,1,2,1953
3,5,4,2,1,1,1950
60,90,2,1,1,2,1980
100,51,2,1,1,2,1955
19,20,3,2,1,2,1942
5,30,5,2,1,1,1927
4,2,5,3,1,1,1950
1,1,5,3,0,2,1957
0,50,3,3,1,1,1952
75,75,3,1,0,1,1975
49,55,6,3,0,2,1980
1,16,4,2,1,1,1946
52,54,3,3,1,1,1945
70,100,2,3,1,1,1954
76,86,3,3,1,2,1956
0,0,4,2,1,2,1958
85,90,3,3,1,1,1957
72,75,4,3,1,1,1956
0,21,4,3,1,2,1948
89,88,4,1,0,2,1953
1,5,3,3,1,1,1954
60,99,1,1,1,2,1951
0,50,3,2,1,2,1960
21,32,4,2,1,2,1959
1,19,5,2,1,2,1953
63,98,6,1,0,2,1950
2,2,4,2,1,1,1937
0,0,5,2,1,1,1964
1,30,4,2,1,2,1961
84,69,1,3,1,1,1953
18,40,4,3,1,2,1956
23,30,3,3,1,1,1953
41,41,3,2,1,2,1964
75,95,1,1,0,1,1976
0,5,4,3,1,1,1942
30,998,3,1,1,2,1961
0,0,5,4,1,1,1952
84,42,3,3,1,2,1956
5,11,4,2,1,1,1968
0,23,5,2,1,1,1972
56,58,2,1,1,2,1965
41,100,2,4,1,2,1958
66,32,3,3,0,2,1960
77,90,2,1,1,1,1989
11,6,4,3,1,1,1950
71,31,6,1,0,2,1967
100,22,3,1,1,2,1944
1,21,3,3,1,1,1949
64,59,3,1,1,2,1980
85,78,2,1,1,2,1966
75,65,3,1,1,1,1980
77,91,5,2,0,1,1989
7,20,5,2,1,1,1970
72,85,2,1,1,1,1945
0,0,3,3,1,2,1990
5,0,5,4,0,1,1946
85,85,3,1,0,1,1961
74,84,3,3,0,2,1984
33,5,5,3,1,1,1994
0,6,6,2,1,2,1938
0,0,3,2,1,2,1971
1,37,5,2,1,2,1986
96,85,3,1,1,1,1951
3,4,5,2,0,2,1983
0,40,5,2,1,2,1942
100,100,1,1,0,2,1961
0,30,4,3,1,2,1945
79,39,2,1,0,1,1974
78,100,2,1,1,1,1952
76,55,2,3,1,2,1977
99,0,1,1,1,2,1941
1,3,6,3,0,1,1974
70,30,4,1,1,2,1968
16,50,4,2,0,1,1957
85,87,3,1,0,2,1959
0,15,4,2,1,2,1955
99,98,2,1,1,1,1949
1,1,5,3,0,1,1962
51,86,3,1,1,1,1951
18,9,4,2,1,2,1953
5,9,3,2,0,2,1959
95,51,3,1,0,2,1973
81,73,3,1,1,2,1945
19,62,3,2,1,2,1959
60,94,1,1,1,2,1985
91,51,1,1,1,2,1938
98,85,3,3,0,1,1958
64,87,1,1,1,2,1956
53,56,3,1,1,2,1982
64,0,3,1,0,2,1977
75,70,1,1,0,1,1960
0,0,5,4,1,2,1964
100,90,3,2,0,2,1938
94,86,3,1,0,1,1949
49,71,3,2,1,2,1962
68,85,2,1,0,1,1980
71,2,4,3,0,2,1974
1,1,4,2,1,1,1948
2,2,5,4,1,2,1946
72,41,4,1,1,2,1933
0,0,6,4,1,1,1959
2,4,5,2,1,1,1949
0,6,5,4,1,1,1964
0,12,4,2,1,1,1959
0,1,5,2,1,1,1952
35,40,1,1,1,1,1954
0,80,3,4,1,2,1953
84,19,4,1,1,1,1959
5,28,4,2,1,2,1942
2,3,5,3,1,1,1953
100,86,2,1,1,1,1955
0,0,5,3,1,1,1953
99,71,1,1,1,2,1940
88,84,2,1,0,2,1963
0,6,5,4,0,2,1968
90,100,1,1,1,2,1983
99,75,2,1,1,2,1946
16,62,3,3,0,2,1949
0,40,4,2,1,2,1964
0,32,3,4,1,1,1945
1,51,4,3,1,2,1936
71,52,3,1,1,2,1972
51,36,2,3,1,1,1988
6,17,5,2,1,2,1975
100,100,2,1,1,1,1938
33,35,4,1,0,2,1965
50,61,3,3,0,1,1979
3,63,6,3,0,1,1990
35,55,4,3,1,1,1934
20,100,1,1,1,2,1960
72,52,2,1,0,2,1955
3,40,3,4,1,1,1954
1,64,4,3,1,2,1948
89,88,2,1,1,1,1956
38,39,3,1,1,2,1962
6,2,3,3,1,1,1974
100,10,3,1,1,2,1963
2,55,3,3,1,1,1948
56,90,2,1,1,2,1992
97,50,4,1,1,1,1959
0,1,3,4,1,1,1992
81,100,2,1,1,1,1955
100,1,2,1,0,1,1952
1,3,5,2,1,1,1953
